Tabela 21,,,,,,,,,,,,,,,
Viagens Diárias Atraídas por Modo Principal e Zona de Destino – 2017,,,,,,,,,,,,,,,rev. 15/04/2021
Região Metropolitana de São Paulo,,,,,,,,,,,,,,,
Pesquisa Origem e Destino 2017,,,,,,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
, Viagens Atraídas por Modo Principal ,,,,,,,,,,,,,,
Zona de, Metrô , Trem , Ônibus , Transporte fretado , Transporte escolar , Dirigindo automóvel , Passageiro de automóvel , Táxi convencional , Táxi não convencional , Dirigindo moto , Passageiro de moto , Bicicleta , A pé , Outros ,
Destino,,,,,,,,,,,,,,, Total 
,,,,,,,,,,,,,,,
  106 ,  4.553 ,  3.758 ,  5.625 ,  -   ,  377 ,  7.845 ,  3.065 ,  -   ,  175 ,  253 ,  -   ,  1.047 ,  4.085 ,  808 ,  31.592 
  107 ,  2.032 ,  4.657 ,  7.751 ,  -   ,  2.338 ,  15.250 ,  8.914 ,  49 ,  1.172 ,  1.550 ,  -   ,  174 ,  6.193 ,  248 ,  50.328 
  108 ,  2.517 ,  6.789 ,  2.589 ,  -   ,  538 ,  7.577 ,  2.291 ,  -   ,  44 ,  1.111 ,  -   ,  71 ,  1.903 ,  710 ,  26.140 
  109 ,  12.078 ,  6.392 ,  51.384 ,  158 ,  18.471 ,  31.107 ,  10.717 ,  -   ,  23 ,  993 ,  -   ,  1.129 ,  49.609 ,  -   ,  182.060 
  110 ,  5.269 ,  11.753 ,  19.521 ,  27 ,  3.170 ,  18.694 ,  7.780 ,  44 ,  -   ,  661 ,  -   ,  -   ,  24.626 ,  -   ,  91.545 
  111 ,  1.105 ,  786 ,  17.980 ,  -   ,  5.727 ,  17.745 ,  8.944 ,  -   ,  1.252 ,  284 ,  -   ,  2.103 ,  28.210 ,  -   ,  84.136 
  112 ,  1.462 ,  3.512 ,  13.235 ,  158 ,  1.715 ,  8.099 ,  2.288 ,  -   ,  904 ,  1.817 ,  -   ,  -   ,  24.337 ,  -   ,  57.527 
  113 ,  1.990 ,  3.383 ,  15.058 ,  507 ,  2.593 ,  14.080 ,  6.162 ,  -   ,  269 ,  1.767 ,  -   ,  -   ,  11.766 ,  -   ,  57.575 
  114 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  239 ,  -   ,  239 
  115 ,  3.315 ,  7.254 ,  15.172 ,  -   ,  5.477 ,  10.781 ,  2.261 ,  -   ,  -   ,  1.640 ,  -   ,  -   ,  24.030 ,  -   ,  69.930 
  116 ,  11.061 ,  9.026 ,  76.413 ,  1.517 ,  19.239 ,  23.305 ,  5.696 ,  -   ,  292 ,  3.305 ,  1.351 ,  -   ,  88.393 ,  -   ,  239.599 
  117 ,  893 ,  2.110 ,  15.403 ,  1.345 ,  8.845 ,  13.275 ,  5.738 ,  -   ,  660 ,  2.002 ,  -   ,  -   ,  9.889 ,  -   ,  60.161 
  118 ,  808 ,  810 ,  4.451 ,  1.215 ,  468 ,  3.908 ,  2.265 ,  -   ,  -   ,  -   ,  -   ,  -   ,  8.131 ,  -   ,  22.055 
  119 ,  5.964 ,  8.792 ,  30.467 ,  -   ,  16.198 ,  10.101 ,  4.882 ,  -   ,  -   ,  765 ,  -   ,  -   ,  34.711 ,  -   ,  111.879 
  120 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
  121 ,  4.130 ,  -   ,  30.574 ,  -   ,  2.894 ,  9.833 ,  6.677 ,  406 ,  -   ,  1.028 ,  -   ,  -   ,  39.073 ,  -   ,  94.615 
  122 ,  1.283 ,  -   ,  24.119 ,  -   ,  1.521 ,  6.069 ,  7.598 ,  -   ,  -   ,  2.232 ,  -   ,  485 ,  29.634 ,  -   ,  72.941 
  123 ,  2.076 ,  524 ,  24.410 ,  1.535 ,  13.553 ,  5.844 ,  292 ,  -   ,  -   ,  3.728 ,  -   ,  -   ,  32.042 ,  -   ,  84.004 
  124 ,  5.203 ,  2.045 ,  36.496 ,  -   ,  9.441 ,  19.999 ,  11.655 ,  -   ,  291 ,  -   ,  -   ,  -   ,  45.103 ,  -   ,  130.234 
  125 ,  1.257 ,  517 ,  18.067 ,  264 ,  3.266 ,  8.997 ,  2.538 ,  -   ,  -   ,  1.848 ,  -   ,  840 ,  42.550 ,  -   ,  80.144 
  126 ,  3.549 ,  -   ,  17.950 ,  -   ,  3.839 ,  14.053 ,  7.629 ,  -   ,  389 ,  1.421 ,  -   ,  770 ,  22.272 ,  -   ,  71.873 
  127 ,  3.324 ,  1.668 ,  26.913 ,  520 ,  6.555 ,  34.697 ,  11.997 ,  360 ,  636 ,  2.461 ,  -   ,  1.768 ,  37.246 ,  -   ,  128.145 
  128 ,  6.701 ,  -   ,  9.486 ,  10 ,  36 ,  8.240 ,  7.254 ,  -   ,  1.105 ,  -   ,  -   ,  31 ,  2.895 ,  -   ,  35.757 
  129 ,  11.929 ,  -   ,  18.311 ,  -   ,  15 ,  15.427 ,  5.967 ,  28 ,  -   ,  747 ,  -   ,  -   ,  10.294 ,  -   ,  62.718 
  130 ,  3.457 ,  -   ,  572 ,  -   ,  -   ,  3.552 ,  254 ,  -   ,  45 ,  229 ,  -   ,  71 ,  1.482 ,  -   ,  9.662 
  131 ,  9.296 ,  607 ,  7.847 ,  -   ,  15 ,  4.781 ,  1.447 ,  458 ,  301 ,  725 ,  -   ,  1.016 ,  5.566 ,  -   ,  32.060 
