Tabela 20,,,,,,,
Tempo Médio das Viagem Produzidas por Tipo de Viagem e Zona de Origem – 2017,,,,,,,rev. 15/04/2021
Região Metropolitana de São Paulo,,,,,,,
Pesquisa Origem e Destino 2017,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,
,,,,,,,
Zona de,Tempo Médio de Viagem(minutos) por Tipo,,,,,,
 Origem , Coletivo , Individual , A pé , Bicicleta ,,,
335,  50 ,  23 ,  13 ,  29 ,,,
336,  52 ,  25 ,  13 ,  15 ,,,
337,  45 ,  26 ,  13 ,  15 ,,,
338,  74 ,  35 ,  15 ,  44 ,,,
339,  78 ,  39 ,  17 ,  34 ,,,
340,  73 ,  30 ,  10 ,  16 ,,,
341,  50 ,  28 ,  12 ,  19 ,,,
342,  52 ,  26 ,  17 ,  48 ,,,
343,  49 ,  21 ,  18 ,  -   ,,,
344,  65 ,  23 ,  12 ,  -   ,,,
345,  46 ,  32 ,  15 ,  10 ,,,
346,  -   ,  17 ,  -   ,  -   ,,,
347,  48 ,  28 ,  14 ,  8 ,,,
348,  67 ,  29 ,  16 ,  90 ,,,
349,  -   ,  60 ,  -   ,  -   ,,,
350,  50 ,  29 ,  21 ,  -   ,,,
351,  58 ,  22 ,  15 ,  -   ,,,
352,  40 ,  24 ,  25 ,  -   ,,,
353,  65 ,  -   ,  -   ,  -   ,,,
354,  -   ,  60 ,  -   ,  -   ,,,
355,  66 ,  12 ,  12 ,  10 ,,,
356,  71 ,  28 ,  13 ,  -   ,,,
357,  86 ,  19 ,  15 ,  -   ,,,
358,  52 ,  25 ,  16 ,  31 ,,,
359,  47 ,  24 ,  20 ,  -   ,,,
360,  55 ,  36 ,  23 ,  32 ,,,
361,  44 ,  20 ,  14 ,  5 ,,,
362,  54 ,  27 ,  11 ,  -   ,,,
363,  50 ,  22 ,  11 ,  16 ,,,
364,  64 ,  36 ,  18 ,  23 ,,,
365,  57 ,  33 ,  15 ,  20 ,,,
366,  64 ,  26 ,  13 ,  70 ,,,
367,  48 ,  19 ,  10 ,  10 ,,,
368,  51 ,  21 ,  12 ,  -   ,,,
369,  40 ,  16 ,  13 ,  -   ,,,
370,  38 ,  22 ,  16 ,  20 ,,,
371,  47 ,  15 ,  12 ,  18 ,,,
372,  44 ,  23 ,  8 ,  -   ,,,
373,  49 ,  17 ,  13 ,  10 ,,,
374,  65 ,  57 ,  52 ,  -   ,,,
375,  48 ,  23 ,  10 ,  20 ,,,
