Tabela 22,,,,,
Viagens Diárias Atraídas por Tipo e Zona de Destino – 2017,,,,,rev. 15/04/2021
Região Metropolitana de São Paulo,,,,,
Pesquisa Origem e Destino 2017,,,,,
Companhia do Metropolitano de São Paulo ,,,,,
,,,,,
 Zona de Destino , Viagens Atraídas por Tipo ,,,, Total 
, Coletivo , Individual , Modo Motorizado , Modo Não Motorizado ,
,,,,,
,,,,,
272,  13.209 ,  20.723 ,  33.932 ,  7.928 ,  41.859 
273,  41.771 ,  44.004 ,  85.774 ,  34.084 ,  119.859 
274,  48.422 ,  43.527 ,  91.949 ,  42.544 ,  134.492 
275,  39.876 ,  35.413 ,  75.289 ,  37.123 ,  112.412 
276,  53.592 ,  63.338 ,  116.931 ,  43.410 ,  160.341 
277,  34.791 ,  45.063 ,  79.855 ,  44.521 ,  124.376 
278,  72.062 ,  46.137 ,  118.199 ,  91.625 ,  209.824 
279,  43.692 ,  12.806 ,  56.498 ,  45.270 ,  101.768 
280,  40.106 ,  24.965 ,  65.071 ,  13.757 ,  78.829 
281,  32.237 ,  38.464 ,  70.700 ,  14.532 ,  85.232 
282,  26.852 ,  35.943 ,  62.795 ,  23.930 ,  86.725 
283,  8.046 ,  5.496 ,  13.542 ,  5.662 ,  19.204 
284,  37.292 ,  18.868 ,  56.161 ,  26.147 ,  82.308 
285,  49.459 ,  45.942 ,  95.401 ,  74.640 ,  170.041 
286,  25.494 ,  19.795 ,  45.288 ,  5.221 ,  50.509 
287,  20.352 ,  29.616 ,  49.968 ,  19.651 ,  69.619 
288,  26.534 ,  10.749 ,  37.283 ,  12.753 ,  50.035 
289,  40.832 ,  24.106 ,  64.938 ,  30.747 ,  95.685 
290,  34.644 ,  14.596 ,  49.240 ,  40.837 ,  90.077 
291,  53.243 ,  44.603 ,  97.846 ,  34.800 ,  132.646 
292,  31.631 ,  32.423 ,  64.054 ,  34.201 ,  98.255 
293,  66.476 ,  27.511 ,  93.987 ,  51.406 ,  145.393 
294,  71.979 ,  13.289 ,  85.268 ,  84.813 ,  170.081 
295,  75.044 ,  36.010 ,  111.054 ,  58.324 ,  169.379 
296,  4.114 ,  2.908 ,  7.022 ,  1.951 ,  8.973 
297,  1.940 ,  1.727 ,  3.666 ,  667 ,  4.333 
298,  94.626 ,  34.453 ,  129.079 ,  91.111 ,  220.190 
299,  5.144 ,  2.556 ,  7.700 ,  2.431 ,  10.131 
300,  108.000 ,  101.421 ,  209.421 ,  61.006 ,  270.427 
301,  21.194 ,  24.215 ,  45.409 ,  4.510 ,  49.919 
302,  66.893 ,  34.587 ,  101.481 ,  18.651 ,  120.132 
303,  86.721 ,  31.389 ,  118.110 ,  13.776 ,  131.886 
304,  62.729 ,  36.383 ,  99.112 ,  65.455 ,  164.567 
305,  84.668 ,  32.608 ,  117.276 ,  89.002 ,  206.277 
306,  42.400 ,  11.681 ,  54.081 ,  46.699 ,  100.781 
307,  72.300 ,  23.517 ,  95.817 ,  50.118 ,  145.935 
308,  25.367 ,  5.554 ,  30.921 ,  30.496 ,  61.416 
309,  42.128 ,  11.862 ,  53.989 ,  24.536 ,  78.526 
310,  12.348 ,  6.715 ,  19.063 ,  10.081 ,  29.144 
311,  64.657 ,  32.250 ,  96.907 ,  55.855 ,  152.762 
312,  35.562 ,  31.297 ,  66.859 ,  26.473 ,  93.332 
313,  16.800 ,  11.169 ,  27.970 ,  17.575 ,  45.544 
314,  88.014 ,  28.814 ,  116.828 ,  69.462 ,  186.290 
315,  69.221 ,  26.185 ,  95.406 ,  79.420 ,  174.827 
316,  16.627 ,  25.783 ,  42.409 ,  5.319 ,  47.729 
317,  6.440 ,  10.129 ,  16.569 ,  803 ,  17.372 
318,  19.314 ,  17.580 ,  36.894 ,  11.252 ,  48.146 
319,  17.988 ,  16.566 ,  34.554 ,  5.507 ,  40.061 
320,  35.860 ,  15.833 ,  51.693 ,  48.255 ,  99.948 
321,  27.422 ,  46.838 ,  74.260 ,  25.568 ,  99.828 
322,  26.842 ,  36.974 ,  63.816 ,  18.463 ,  82.279 
323,  42.365 ,  24.069 ,  66.434 ,  29.694 ,  96.128 
324,  51.749 ,  17.543 ,  69.292 ,  28.706 ,  97.998 
325,  24.364 ,  32.615 ,  56.979 ,  31.588 ,  88.567 
326,  29.561 ,  21.237 ,  50.798 ,  13.278 ,  64.076 
327,  8.058 ,  15.634 ,  23.691 ,  8.068 ,  31.760 
328,  17.275 ,  27.157 ,  44.432 ,  8.737 ,  53.169 
329,  25.469 ,  46.706 ,  72.175 ,  17.923 ,  90.098 
330,  20.474 ,  30.413 ,  50.888 ,  12.945 ,  63.833 
331,  27.672 ,  24.435 ,  52.107 ,  18.018 ,  70.125 
332,  22.896 ,  22.512 ,  45.408 ,  36.398 ,  81.806 
333,  15.352 ,  10.483 ,  25.835 ,  8.661 ,  34.495 
334,  21.789 ,  28.764 ,  50.553 ,  17.824 ,  68.377 
335,  21.285 ,  23.509 ,  44.794 ,  24.173 ,  68.967 
336,  30.232 ,  15.409 ,  45.640 ,  14.884 ,  60.524 
337,  21.551 ,  21.357 ,  42.908 ,  9.946 ,  52.854 
338,  25.178 ,  21.377 ,  46.556 ,  24.560 ,  71.115 
339,  45.984 ,  34.415 ,  80.398 ,  9.247 ,  89.645 
340,  16.836 ,  18.641 ,  35.477 ,  4.033 ,  39.510 
341,  9.237 ,  12.903 ,  22.140 ,  7.522 ,  29.662 
342,  20.622 ,  32.303 ,  52.925 ,  16.785 ,  69.710 
343,  1.163 ,  1.954 ,  3.117 ,  661 ,  3.779 
344,  37.463 ,  39.526 ,  76.989 ,  32.461 ,  109.450 
345,  12.243 ,  8.560 ,  20.804 ,  17.870 ,  38.674 
346,  -   ,  125 ,  125 ,  -   ,  125 
347,  39.081 ,  27.986 ,  67.068 ,  51.081 ,  118.149 
348,  3.630 ,  2.576 ,  6.205 ,  2.854 ,  9.060 
349,  -   ,  292 ,  292 ,  -   ,  292 
350,  25.855 ,  12.667 ,  38.521 ,  25.443 ,  63.965 
351,  46.181 ,  26.201 ,  72.382 ,  44.076 ,  116.458 
352,  1.882 ,  5.200 ,  7.082 ,  425 ,  7.507 
353,  379 ,  -   ,  379 ,  -   ,  379 
354,  -   ,  493 ,  493 ,  -   ,  493 
355,  25.048 ,  19.726 ,  44.774 ,  42.627 ,  87.401 
356,  45.239 ,  14.696 ,  59.935 ,  71.175 ,  131.110 
357,  1.338 ,  628 ,  1.966 ,  2.813 ,  4.779 
358,  13.213 ,  20.997 ,  34.210 ,  20.478 ,  54.688 
359,  5.840 ,  10.647 ,  16.487 ,  7.909 ,  24.396 
360,  9.329 ,  6.303 ,  15.631 ,  11.727 ,  27.358 
361,  5.901 ,  4.277 ,  10.178 ,  6.387 ,  16.565 
362,  53.665 ,  48.998 ,  102.663 ,  18.556 ,  121.219 
363,  37.180 ,  55.675 ,  92.855 ,  35.926 ,  128.781 
364,  15.144 ,  16.497 ,  31.642 ,  11.247 ,  42.888 
365,  13.267 ,  8.422 ,  21.689 ,  2.830 ,  24.519 
366,  34.431 ,  40.571 ,  75.002 ,  21.565 ,  96.567 
367,  13.155 ,  20.037 ,  33.192 ,  16.734 ,  49.926 
368,  21.033 ,  34.136 ,  55.170 ,  37.814 ,  92.984 
369,  33.388 ,  47.062 ,  80.450 ,  34.288 ,  114.737 
